fuck you,dt,vx,vy,yaw,dx,dy,"x,y"
"{""lidar0"":-1,""lidar1"":-1,""lidar2"":-1,""lidar3"":-1,""lidar4"":-1,""timestamp"":122628.356,""accelerometers"":{""x"":92.88760375976562,""y"":23.97836685180664,""z"":-968.123046875},""gyroscopes"":{""x"":-0.034881655126810074,""y"":0.038326870650053024,""z"":-0.09526263922452927},""controlState"":""CTRL_LANDED"",""flyState"":""FLYING_OK"",""frontBackDegrees"":2.829,""leftRightDegrees"":5.846,""clockwiseDegrees"":-1.835,""xVelocity"":0,""yVelocity"":0,""zVelocity"":0,""command"":""ra"",""dataValid"":true}"
"{""lidar0"":-1,""lidar1"":-1,""lidar2"":-1,""lidar3"":-1,""lidar4"":-1,""timestamp"":122643.341,""accelerometers"":{""x"":93.26422882080078,""y"":25.251039505004883,""z"":-968.12841796875},""gyroscopes"":{""x"":0.01568794995546341,""y"":0.08680202066898346,""z"":0.03016350232064724},""controlState"":""CTRL_LANDED"",""flyState"":""FLYING_OK"",""frontBackDegrees"":2.83,""leftRightDegrees"":5.847,""clockwiseDegrees"":-1.835,""xVelocity"":0,""yVelocity"":0,""zVelocity"":0,""command"":""ra"",""dataValid"":true}"
"{""lidar0"":-1,""lidar1"":-1,""lidar2"":-1,""lidar3"":-1,""lidar4"":-1,""timestamp"":122648.406,""accelerometers"":{""x"":93.56909942626953,""y"":25.90821647644043,""z"":-968.13330078125},""gyroscopes"":{""x"":0.026632249355316162,""y"":0.03096199408173561,""z"":0.02022627182304859},""controlState"":""CTRL_LANDED"",""flyState"":""FLYING_OK"",""frontBackDegrees"":2.83,""leftRightDegrees"":5.847,""clockwiseDegrees"":-1.835,""xVelocity"":0,""yVelocity"":0,""zVelocity"":0,""command"":""ra"",""dataValid"":true}"
"{""lidar0"":-1,""lidar1"":-1,""lidar2"":-1,""lidar3"":-1,""lidar4"":-1,""timestamp"":122653.442,""accelerometers"":{""x"":91.68675231933594,""y"":25.3729305267334,""z"":-968.1005859375},""gyroscopes"":{""x"":-0.033265143632888794,""y"":0.05008462071418762,""z"":0.008038572035729885},""controlState"":""CTRL_LANDED"",""flyState"":""FLYING_OK"",""frontBackDegrees"":2.83,""leftRightDegrees"":5.847,""clockwiseDegrees"":-1.835,""xVelocity"":0,""yVelocity"":0,""zVelocity"":0,""command"":""ra"",""dataValid"":true,""num"":""-1""}"
"{""lidar0"":-1,""lidar1"":-1,""lidar2"":-1,""lidar3"":-1,""lidar4"":-1,""timestamp"":122658.538,""accelerometers"":{""x"":91.58151245117188,""y"":23.056299209594727,""z"":-968.0986328125},""gyroscopes"":{""x"":-0.02288578264415264,""y"":-0.015802163630723953,""z"":-0.08334136754274368},""controlState"":""CTRL_LANDED"",""flyState"":""FLYING_OK"",""frontBackDegrees"":2.829,""leftRightDegrees"":5.847,""clockwiseDegrees"":-1.835,""xVelocity"":0,""yVelocity"":0,""zVelocity"":0,""command"":""ra"",""dataValid"":true,""num"":""-1""}"
"{""lidar0"":-1,""lidar1"":-1,""lidar2"":-1,""lidar3"":-1,""lidar4"":-1,""timestamp"":122663.36,""accelerometers"":{""x"":88.43804168701172,""y"":22.11612892150879,""z"":-968.04541015625},""gyroscopes"":{""x"":-0.0017162184230983257,""y"":0.0599096454679966,""z"":-0.10190148651599884},""controlState"":""CTRL_LANDED"",""flyState"":""FLYING_OK"",""frontBackDegrees"":2.829,""leftRightDegrees"":5.847,""clockwiseDegrees"":-1.836,""xVelocity"":0,""yVelocity"":0,""zVelocity"":0,""command"":""ra"",""dataValid"":true,""num"":""-1""}"
"{""lidar0"":-1,""lidar1"":-1,""lidar2"":-1,""lidar3"":-1,""lidar4"":-1,""timestamp"":122668.395,""accelerometers"":{""x"":89.80937957763672,""y"":23.112415313720703,""z"":-968.06640625},""gyroscopes"":{""x"":-0.007964367978274822,""y"":0.009793560951948166,""z"":-0.07341708987951279},""controlState"":""CTRL_LANDED"",""flyState"":""FLYING_OK"",""frontBackDegrees"":2.828,""leftRightDegrees"":5.847,""clockwiseDegrees"":-1.836,""xVelocity"":0,""yVelocity"":0,""zVelocity"":0,""command"":""ra"",""dataValid"":true,""num"":""-1""}"
"{""lidar0"":-1,""lidar1"":-1,""lidar2"":-1,""lidar3"":-1,""lidar4"":-1,""timestamp"":122673.553,""accelerometers"":{""x"":89.4515380859375,""y"":25.152690887451172,""z"":-968.05859375},""gyroscopes"":{""x"":0.04546141251921654,""y"":0.027330555021762848,""z"":-0.03855473920702934},""controlState"":""CTRL_LANDED"",""flyState"":""FLYING_OK"",""frontBackDegrees"":2.828,""leftRightDegrees"":5.847,""clockwiseDegrees"":-1.836,""xVelocity"":0,""yVelocity"":0,""zVelocity"":0,""command"":""ra"",""dataValid"":true,""num"":""-1""}"
"{""lidar0"":-1,""lidar1"":-1,""lidar2"":-1,""lidar3"":-1,""lidar4"":-1,""timestamp"":122678.375,""accelerometers"":{""x"":92.35787963867188,""y"":26.337560653686523,""z"":-968.1103515625},""gyroscopes"":{""x"":-0.002898354781791568,""y"":-0.020215939730405807,""z"":0.014006396755576134},""controlState"":""CTRL_LANDED"",""flyState"":""FLYING_OK"",""frontBackDegrees"":2.827,""leftRightDegrees"":5.847,""clockwiseDegrees"":-1.836,""xVelocity"":0,""yVelocity"":0,""zVelocity"":0,""command"":""ra"",""dataValid"":true,""num"":""-1""}"
"{""lidar0"":-1,""lidar1"":-1,""lidar2"":-1,""lidar3"":-1,""lidar4"":-1,""timestamp"":122683.349,""accelerometers"":{""x"":92.66012573242188,""y"":26.58489990234375,""z"":-968.115234375},""gyroscopes"":{""x"":0.03510253131389618,""y"":-0.04208516329526901,""z"":0.012416536919772625},""controlState"":""CTRL_LANDED"",""flyState"":""FLYING_OK"",""frontBackDegrees"":2.827,""leftRightDegrees"":5.847,""clockwiseDegrees"":-1.836,""xVelocity"":0,""yVelocity"":0,""zVelocity"":0,""command"":""ra"",""dataValid"":true,""num"":""-1""}"
"{""lidar0"":-1,""lidar1"":-1,""lidar2"":-1,""lidar3"":-1,""lidar4"":-1,""timestamp"":122838.195,""accelerometers"":{""x"":95.02043151855469,""y"":23.68020248413086,""z"":-958.9326171875},""gyroscopes"":{""x"":-0.0018296302296221256,""y"":0.02544723078608513,""z"":-0.07246581465005875},""controlState"":""CTRL_LANDED"",""flyState"":""FLYING_OK"",""frontBackDegrees"":2.825,""leftRightDegrees"":5.842,""clockwiseDegrees"":-1.836,""xVelocity"":0,""yVelocity"":0,""zVelocity"":0,""command"":""ra"",""dataValid"":true,""num"":""-1""}"
"{""lidar0"":-1,""lidar1"":-1,""lidar2"":-1,""lidar3"":-1,""lidar4"":-1,""timestamp"":122842.987,""accelerometers"":{""x"":93.07532501220703,""y"":22.092063903808594,""z"":-959.59130859375},""gyroscopes"":{""x"":0.0012461827136576176,""y"":0.030272992327809334,""z"":-0.06874046474695206},""controlState"":""CTRL_LANDED"",""flyState"":""FLYING_OK"",""frontBackDegrees"":2.826,""leftRightDegrees"":5.842,""clockwiseDegrees"":-1.836,""xVelocity"":0,""yVelocity"":0,""zVelocity"":0,""command"":""ra"",""dataValid"":true,""num"":""-1""}"
"{""lidar0"":-1,""lidar1"":-1,""lidar2"":-1,""lidar3"":-1,""lidar4"":-1,""timestamp"":122848.022,""accelerometers"":{""x"":92.26712799072266,""y"":22.36347198486328,""z"":-960.90234375},""gyroscopes"":{""x"":0.01483063492923975,""y"":-0.012685469351708889,""z"":-0.03559483587741852},""controlState"":""CTRL_LANDED"",""flyState"":""FLYING_OK"",""frontBackDegrees"":2.825,""leftRightDegrees"":5.843,""clockwiseDegrees"":-1.836,""xVelocity"":0,""yVelocity"":0,""zVelocity"":0,""command"":""ra"",""dataValid"":true,""num"":""-1""}"
